,topic,document
0,2,Fairhaven Surf Life Saving Club: Fairhaven is a well known surf beach. The beach is patrolled during December to the Easter. The Fairhaven SLSC was established in 1958.
1,2,"Beach walk: From Sprout Creek, Eastern View, Moggs Creek, Fairhaven to the bottom of the light house there is approx 6 km of beach, featuring rolling surf and spectacular views of the Otway Ranges and Lorne."
2,0,"Rock pools: See what sort of shells and stones you can collect. Can you find a bright red sea star? You can see all sorts of sea vegetation, small fish and crabs. Look at the bird life, gulls and cormorants."
3,2,Sand dunes: The beautiful rolling sand dunes shape the beach. 2011 has seen significant erosion due to winter storms that have bought strong winds and big waves (up to 10 feet).
4,26,Painkalac Creek: The creek separates Aireys Inlet from Fairhaven and forms an inlet behind the sand dunes before it cuts through to the ocean. A great place to shelter from the wind and for younger children to swim.
5,2,Rocks and caves under the light house: There are more rockpools and rocky outcrops to explore under the light house. This area is part of the marine national park. This means that all wildlife is protected and cannot be removed.
6,4,Aireys Inlet playground and picnic ground: There is small skateboard ramp for children to ride their scooters or skateboards. There are also swings and other play equipment for children and a picnic area.
7,0,"Aireys Inlet lower shops: Pick up a coffee, newspaper or Fish and Chips! To the left of the shops, on the other side of the river, kangaroos can be seen in the early morning or at dusk."
8,2,Loutit Bay lookout: Return to Painkalac Creek inlet and walk to the grassed area on the left. At the light house bollard turn right and walk up the signed (steep) walking track. Enjoy panaromic views on your walk up.
9,58,Historical homestead and building: At the lighthouse is the original homestead for the lighthouse keeper. The Aireys Inlet area was first settled in the 1840s. The first tourists arrived in 1919.
10,2,Split Point Lighthouse: Follow the signs and continue up the walking track. Shipping along the Victorian coast was much safer once the combination of this and other lighthouses at Cape Otway and Point Lonsdale were built.
11,3,"1. Tramway signal box: Built in 1928 soon after the electrification of the Swanston St and St Kilda Rd cable tramways. Originally included female public toilets, roofed passenger waiting area, small store and staff toilets."
12,40,"2. City Baths: Built in 1903, the design reflected the social conventions of the time. Men and women were segregated for all facilities; second class baths were in the basement, first class on the main floor. "
13,38,"3. Magistrates Court: Built on the site of the earlier Supreme Court, the building retains fittings from the earlier court including the Gothic canopy that judge Sir Redmond Barry sat under during Ned Kelly trial in 1880."
14,38,"4. Old Melbourne Gaol: Built between 1851 - 1864. As the oldest surviving penal establishment, it was the site where Ned Kelly was imprisoned, executed and buried, amongst many other criminals."
15,38,"5. Eight Hour Day Monument: Built in 1923, the monument commemorates the Eight Hour Day movement started by stonemasons in 1856 to improve working conditions - eight hours labour, eight hours rest and eight hours recreation."
16,40,"6. Trades Hall: Built in stages from 1873 - 1926, Trades Hall is of historical and social significance as a centre of radical and working class politics and activism in Victoria for over 100 years."
17,20,"7. Medley Hall: Built in 1893 as a private residence, the building has since housed the Italian Club, Italian Consulate and for short time was used for a 'less reputable purpose'. "
18,3,8. Lygon shop corner: Lygon Buildings is architecturally significant as the largest and most intact terrace of nineteenth century shops in Melbourne. There are no other comparable retail structures in Melbourne.
19,27,"9. Matthais House: A two storeyed stucco faced bluestone house of 1865-6 with many charming and unusual features - a tower and weathervane, a cantilevered cast iron balcony and delicately glazed arched windows."
20,7,"10. Sacred Heart Catholic Church: Built in 1855-56. In the 1930s and 1940s the Church of the Sacred Heart became a primary focus for Carlton's Italian community, and this continued into the 1960s."
21,67,"11. IMAX Theatre: IMAX is the world's largest cinema format, with a screen up to eight storeys high. Films, from documentaries to latest release movies, can be experienced in 2D or 3D."
22,3,"12. Melbourne Museum: The museum has eight galleries, including one just for children. Highlights include a complete skeleton of a blue whale, the Bunjilaka Aboriginal Cultural Centre, a living rainforest and Phar Lap."
23,67,13. Royal Exhibition Building: The Royal Exhibition Building is the only surviving Great Hall that once housed a 19th-century international exhibition and is still used for exhibitions. 
24,49,"14. Carlton Gardens: Developed in 19th-century Gardenesque style, the Gardens feature symmetrically-placed garden beds, significant avenues, the path system, specimen and clusters of trees, 2 small lakes and 3 fountains."
25,4,"15. Playground: Wonderful playground with swings, slides and many opportunities to climb and clamber, plus small hills to roll down!"
26,59,16. Carlton Gardens Primary School: The school is an Italian Gothic style building built in 1884 with a hipped roof central pavilion buttressed either end by slightly projecting gables.
27,59,"17. Terrace Houses (201 - 205 Drummond Street): Built in 1884, Holcombe Terrace is a fine example of boom style terrace architecture and notable among the works of Norman Hitchcock."
28,3,"18. Museo Italiano: Museo Italiano displays and interprets the experience of Italian migration, and the culture created by Italians in Australia."
29,67,"19. La Mama Theatre: Built in 1883, the building was used for various industrial purposes. In 1967, it was leased by Betty Burstall, teacher and theatre-lover, for use as a small theatre to nurture new Australian drama."
30,32,"19. Underground public toilets: The underground public toilets, built in 1939, are one of eleven built in Melbourne in response to public demand for public toilet facilities in Melbourne that were both sanitary and discreet."
31,28,"21. 313-315 Drummond Street: Built in 1889, the buliding is architecturally significant for its highly unusual grotesque Gothic facade. The kangaroo-gryphon grotesques on the parapet are highly unusual and distinctive."
32,59,22. Carlton Court House: The Carlton Court House is historically significant as part of the civic core of Drummond Street. It is directly opposite the 1878 Carlton Police Station. 
33,12,The Mildura Wharf: Mildura Wharf has been a vital part of the town and inland river transport system since the 1880s. It was established by the Mildura Progress Committee in 1888 to assist the burgeoning river trade.
34,17,Railway overpass: A short walk across the railway overpass leads to Deakin Ave or head left down to the Hugh King Drive underpass to avoid the stairs.
35,62,Prince and Princess of Wales Fountain Plaza: This fountain is very special as it was opened by the Prince and Princess of Wales on the 29th October 1985. Many Mildura residence crowded around to see the Princess Diana.
36,8,"War Memorial : To the left is a War Memorial commemorating those who served in Vietnam, Korea
and South East Asia."
