,topic,document
0,2,Surf Life Saving Club: is a well known surf beach. The beach is patrolled ng December to the Easter. The SLSC wa established in .
1,2,"Beach walk: From Sprout Creek, , , to the bottom of the h there is approx km of beach, featuring rolling surf and spectacular view of the Otway Range and e."
2,1,"Rock pools: See what sort of shell and stone you can collect. Can you find a bright red sea star? You can see all sort of sea vegetation, small fish and crabs. Look at the bird life, gull and cormorants."
3,2,Sand dunes: The beautiful rolling sand dune shape the beach. ha seen significant erosion due to winter storm that have bought strong wind and big wave (up to feet).
4,23,Painkalac Creek: The creek sete from and form an inlet behind the sand dune before it cut through to the ocean. A great place to shelter from the wind and for er child to swim.
5,38,Rock and cave under the h: There are more rockpool and rocky outcrop to explore under the h. Thi area is part of the marine nal park. Thi mean that all wildlife is protected and cannot be removed.
6,28,playground and picnic ground: There is small skateboard ramp for child to ride their scooter or skateboards. There are also swing and other play equipment for child and a picnic area.
7,35,"lower shops: Pick up a coffee, newspaper or Fish and Chips! To the left of the shops, on the other side of the river, kan can be seen in the early morning or at dusk."
8,68,Loutit Bay lookout: Return to Painkalac Creek inlet and walk to the grassed area on the left. At the h bollard turn right and walk up the signed (steep) walking track. Enjoy panaromic view on ymy walk up.
9,8,Historical and building: At the h is the original for the h keeper. The area wa first settled in the s. The first tourist arrived in .
10,0,Split Point h: Follow the sign and continue up the walking track. Shipping along the n coast wa much safer once the combination of thi and other h at and were built.
11,65,". Tramway signal box: Built in soon after the electrification of the ston St and St Kilda Rd cable tramways. Originally included female public toilets, roofed passenger waiting area, small store and staff toilets."
12,31,". Baths: Built in , the design reflected the social convention of the time. man and woman were segregated for all facilities; second clas bath were in the basement, first clas on the main floor."
13,60,". Magistrate Court: Built on the site of the earlier Supreme Court, the building retain fitting from the earlier court including the Gothic canopy that judge Sir Barry sat under ng Ned trial in ."
14,60,". Old Gaol: Built between - . As the oldest surviving penal establishment, it wa the site where Ned wa imprisoned, executed and buried, amongst many other criminals."
15,10,". Eight Hmy Day Monument: Built in , the monument commemorate the Eight Hmy Day movement started by stonemason in to improve working cion - eight hour labour, eight hour rest and eight hour recreation."
16,31,". Trade : Built in stage from - , Trade is of historical and social significance as a centre of radical and working clas politic and activism in for over rs."
17,11,". Medley : Built in as a private residence, the building ha since hd the In Club, In Consulate and for time wa used for a 'les reputable purpose'."
18,8,. Lygon shop corner: Lygon Building is architecturally significant as the largest and most intact terrace of nineteenth century shop in . There are no other comble retail structure in .
19,8,". Matthai H: A two storeyed stucco faced bstone h of - with many charming and unusual feature - a tower and weathervane, a cantilevered cast iron balcony and delicately glazed arched windows."
20,13,". Sacred Heart Cic Church: Built in -. In the s and s the Church of the Sacred Heart became a primary focu for Carlton' In community, and thi continued into the s."
21,11,". IMAX Theatre: IMAX is the world' largest cinema format, with a screen up to eight storey high. Films, from documentary to latest release movies, can be experienced in D or D."
22,11,". Museum: The museum ha eight galleries, including one just for children. High include a complete skel of a b w, the aka Aboriginal Cultural Centre, a living rain and Phar Lap."
23,11,. Royal Exhibition Building: The Royal Exhibition Building is the only surviving Great that once hd a th-century internal exhibition and is still used for exhibitions.
24,7,". Carlton Gardens: Developed in th-century Gardenesque style, the Garden feature symmetrically-placed garden beds, significant avenues, the path system, speciman and cluster of trees, small lake and s."
25,6,". Playground: Wonderful playground with swings, slide and many opportunity to climb and cl, plu small hill to roll down!"
26,48,. Carlton Garden Primary School: The school is an In Gothic style building built in with a hipped roof central pavilion buttressed either end by sly projecting .
27,8,". Terrace H ( - Street): Built in , Holcombe Terrace is a fine example of boom style terrace architecture and notable among the work of Norman Hitchcock."
28,22,". Museo Ino: Museo Ino display and interpret the experience of In migration, and the culture created by In in ia."
29,11,". La Mama Theatre: Built in , the building wa used for variou industrial purposes. In , it wa leased by Betty Burstall, teacher and theatre-lover, for use as a small theatre to nurture new ian drama."
30,31,". Underground public toilets: The underground public toilets, built in , are one of eleven built in in response to public demand for public toilet facility in that were both sanitary and discreet."
31,8,". - Street: Built in , the buliding is architecturally significant for it highly unusual grotesque Gothic facade. The kan-gryphon grotesque on the pet are highly unusual and distinctive."
32,60,. Carlton Court H: The Carlton Court H is historically significant as part of the civic core of Street. It is directly opposite the Carlton Polouse Station.
33,59,The Wharf: Wharf ha been a vital part of the town and inland river transport system since the s. It wa established by the Progress Committee in to assist the burgeoning river trade.
34,68,Railway overpass: A walk acros the railway overpas lead to Ave or head left down to the King Drive underpas to avoid the stairs.
35,4,Prince and Princes of Wale Plaza: Thi is very special as it wa opened by the Prince and Princes of Wale on the th October . Many residence crowded around to see the Princes Diana.
36,10,"War Memorial : To the left is a War Memorial commemorating those who served in Vietnam, Korea and South East Asia."
37,40,"Sculpture commemorating Alfred , Primie Minister of ia and the initiator of the : Sculpted by Michael Meszaro and presented to the to mark the centenary of the irrigation colony in . The memorial represent fruit b and irrigation channel as seen from the air."
38,32,"The G Hotel (to the right): Enter the G Hotel’ main entrance and turn left. To ymy right, you will see a display of historical photos. Through the glas door are one of ’ original s."
39,40,"Commodore Motel former site of the bo h: Back in , thi site wa a early bo h called the . A plaque marking the site can be found at to the motel’ restaurant. The wa demolished in ."
40,8,"WIN TV: Originally STV, opening in and next door is the Sunraysium Daily, the local newspaper."
41,8,"The Cultivator: ’ earliest newspaper wa the Cultivator, begun in . It wa a twice-weekly publication that moved to the current Sunraysium Daily site at Avenue in ."
42,8,"Sunraysium Daily: Local identity, C.J De Gari bought The Cultivator along with the Telegraph and Irrigationist and merged them into one paper, the Sunraysium Daily, in ."
43,12,"George and William Building: Acros the road is a single story late n, red brick building, with a brick and iron palisade fence. The building wa gifted to La T Uni in by Carrazza."
44,37,"Electric Supply Department Substation No.: In the centre plantation, stand the Electric Supply Department Substation No., dating back to , when the production of electrus wa considered a local responsibility, rather than a state one."
45,10,"Queen Ius visit to , th, : When Queen toured in , a decorative dai wa erected in thi area of the plantation. Pic of thi day are displayed at the Centre. Visit to Barclay B in"
46,8,"Bowring' Store, corner Avenue and th Street - Circa : The site of the ANZ Bank wa previously known as Bowring Corner and wa the site of Bowring’ Store, opened in . It extended into Langtree Avenue in but ceased busines two decade later."
47,44,"Old Post Office (LH of Ave): Thi corner building wa for over a century, the Post Office. The earliest Post Office on thi site wa built in , with much of the current building being erected in ."
48,10,"George V Memorial (in centre plantation): Cng into the centre plantation, you will find the George V Memorial , originally erected in the garden of the Rio , home of W.B , it wa moved to it current position in"
