,Topic,Count,Name,Representation,Representative_Docs
0,-1,1590,-1_reserve_street_up_birds,"['reserve', 'street', 'up', 'birds', 'information', 'path', 'avenue', 'through', 'back', 'where']","['While the cars slog away above its peaceful down here!: At this point of the walk you are basically directly under the Western Ring Road. If you wish you can turn left here, go under the Road and head south, however to continue with this route head straigh', ' Shops: A great little shopping strip tucked away on the ""other"" end of  Road. Maybe too early in your walk for a drink stop, but there is also a public toilet should you need one!', 'Nature at its finest: The path is edged by beautiful trees almost the whole way along. Providing much needed shade in the warmer months and an excellent display of colour in Autumn, they are also home to many types of Bird']"
1,0,234,0_building_office_post_court,"['building', 'office', 'post', 'court', 'offices', 'civic', 'historic', 'ave', 'original', 'bell']","['70  Avenue (LHS of  Ave): Once the site of the Shire Offices, beginning as a modest, timber, two roomed building before the current building was erected in 1922. In 1971, the Shire Offices were relocated to Irymple. ', 'Post Office: The original post office was rebuilt in 1867 with the bell and c tower as you see it now.', '15. Former Walter Davis store, 86 Bridge Mall : An example of the commercial work of Civic  architect Les  who remodelled the store in 1935 with distinctive art deco features.   was known for both his commercial & residential work.\n']"
2,1,160,1_beach_bay_sand_tide,"['beach', 'bay', 'sand', 'tide', 'foreshore', 'surf', 'coast', 'tidal', 'coastal', 'patrolled']","['Coastal walking path: The narrow unsealed coast walking path runs llel with Beach Road wng its way through coastal heathland with elevated views out over the Bay and beaches to the .', 'Beach walkers: If the tide is out, walking along the beach provides a lovely cool breeze in the summer.  As you walk there are shells to discover, birds to spot, and views of the CBD across the bay.', 'Broad Tidal Flats:  Bay is sow on the western side, so at low tide vast areas of sand are accessible. This beach has been set aside as ""Dog Friendly""']"
3,2,144,2_sculpture_art_mural_wall,"['sculpture', 'art', 'mural', 'wall', 'sculptures', 'artists', 'mosaic', 'artwork', 'sculptor', 'painted']","[""9. Mural, Civic /Library Car Park, off Market St: A colourful public art mural has been created on the back wall of the carpark.   The mural was painted in 2013 by local youth working alongside professl artist Pauline O'Shannessy-Dowling.\n"", 'Silence (2003): Sculptor Adrian Mauriks has\r\ndescribed this work on NewQuay as \x9da series of forms aing to the mind,\r\nappealing to memory, remng\r\nyou of natural things: clouds, a tree, a . ', ""Silence (2003): Sculptor Adrian Mauriks has\r\ndescribed this work as \x9da series\r\nof forms aing to the mind,\r\nappealing to memory, remng\r\nyou of natural things \x9d clouds,\r\na tree, a  \x9d questioning\r\nand gesturing'""]"
4,3,138,3_bridge_footbridge_pedestrian_cross,"['bridge', 'footbridge', 'pedestrian', 'cross', 'railway', 'heavenly', 'overpass', 'queens', 'under', 'ssi']","['Overhead Railway Bridge: The Overhead Bridge was opened on June 16 1928 (costing £454 to build) and removed Nov 24 1980. It was sold to the  Progress Association and today links  Run and the EPA Museum.', ' Bridge (2003): This sculptural bridge was the result of an art competition to transform a disused  link into an integrated artwork that could function as a pedestrian\r\nand cyclist bridge.A great photo spot too.', ' Bridge (2003): This sculptural bridge was the result of an art competition to transform a disused  link into an integrated artwork that could function as a pedestrian\r\nand cyclist bridge. A great photo spot too!']"
5,4,102,4_playground_play_childrens_slides,"['playground', 'play', 'childrens', 'slides', 'kids', 'space', 'children', 'slide', '200', 'climbing']","[' Run Play Space: Situated in the centre of town between the Railway station &  Run, the Play Space has lush lawns, parking, public toilets, picnic tables and a BBQ. A great space to enjoy a picnic.', ""'s All Abilities Playground: This playground is a good stop for the kids. It has tables and chairs, toilets, water s, slides and all kinds of play equipment. Children are required to have adult supervision in the park."", 'Birrarung Marr playground: The playground is always open. Watch kids play and enjoy the tube slides, sand pits, swinging hammocks, activity panels, rock and rope climbing features and balance beams.']"
6,5,94,5_bird_birdlife_nesting_hide,"['bird', 'birdlife', 'nesting', 'hide', 'parrots', 'birds', 'heron', 'loads', 'cormorants', 'feng']","['Birdlife: There are lots of bird species to spot on the walk including Pied Cormorants who live in colonies and dive underwater to catch fish. ', 'The Bird Hide: The bird hide gives you the opportunity to watch birdlife undisturbed in their natural habitat. An information board contains pictures and names of all the bird species you might see.', ""White faced heron (and Eastern egret): The heron feeds on fish, insects and amphibians. You might see it walking to disturb it's prey, searching among damp crevices or simply standing in the water and watching for movement.""]"
7,6,87,6_loop_shared_footpath_turn,"['loop', 'shared', 'footpath', 'turn', 'left', 'steps', 'precincts', 'grateful', 'koolamara', 'start']","['Liberty Avenue Reserve shared path : Follow the shared path to Liberty Avenue Reserve.  has more than 100kms of shared paths that connect with major parks, reserves, schools and shopping precincts. ', 'Lewis Park entrance: Enter off Lewis Road.  There are more that 100 kms of shared paths throughout the  of  that connect with major parks, reserves, schools and shopping precincts. ', 'Lewis Park shared path : There are more that 100 kms of shared paths throughout the  of  that connect with major parks, reserves, schools and shopping precincts. ']"
8,7,81,7_gardens_botanic_garden_royal,"['gardens', 'botanic', 'garden', 'royal', 'japanese', 'botanical', 'grow', 'sensory', 'com', 'village']","['Town  Gardens: Baron Ferdinand von Muller sent trees and seeds from the Royal Botanical Gardens in . These gardens have been open public space since 1857. ', ""Botanic Gardens, Established 1870's: Sir William Guilfoyle planned these gardens between 1873 and 1880.  At teh time he was curator of the Royal  Botanic Gardens and planned many rural botanical gardens"", 'Town  Gardens: These gardens have been public open space since 1857. Originally planted from trees and seeds sent from Baron Sir Ferdinand von Mueller, director of the Royal Botanical Gardens in .']"
9,8,72,8_lake_lakes_cherry_weeroona,"['lake', 'lakes', 'cherry', 'weeroona', 'emerald', 'treganowan', 'ornamental', 'suttons', 'freshwater', 'boiling']","['Emerald Lake Park Murals: Murals depicting Carl A. Nobelius, the Puffing Billy Railway and portraits of four writers associated with the area.', ' Lake:  Constructed in 1985, the lake covers 3.3 hectares and has a maximum depth of two metres, perfect for the abandant waterbirds. The lake has a small jetty and an nd to the . ', 'Water Play: Formally the Ornamental Lakes (pic attached), this area mark the site of the old Risby Sawmill, circa 1888. The area was transformed into a recreation water play are in 2015.']"
10,9,64,9_tree_trees_oak_eucalypts,"['tree', 'trees', 'oak', 'eucalypts', 'leaves', 'ferns', 'cedar', 'shrub', 'silver', 'shrubs']","[""Fig Tree: Figs are plentiful ng summer. It's great that these residents have left a bit of their tree overhanging to share with passers by, but please be respectful and 't take more than your fair share."", 'English Oak: This tree can be quite tricky to find, but if you spot it, record what stage of its annual cycle it is at. Leaves falling? Flowers opening? Submit your sightings on the CteWatch app', 'English Oak: This tree can be quite tricky to find, but if you spot it, record what stage of its annual cycle it is at. Leaves falling? Flowers opening? Submit your sightings on the CteWatch app']"
11,10,62,10_rough_track_rocky_bush,"['rough', 'track', 'rocky', 'bush', 'gravel', 'mahogany', 'steps', 'race', 'loose', 'signposts']","['Walking in open bushland: The pathway is a mix of gravel path and some more overgrown pathways like the one in this picture.  Overall the route is quite level.', ""Rough track: The track gets a little rough and rocky in parts but doesn't stay that way for too long. "", ""Start of 's Folly Track: There's a sign a near the car park marking the start of the track. Apparently Capt R  simply lit a match wherever he thought the bush needed to be cleared for the army\\'s weapons training areas.""]"
12,11,61,11_echidna_zoo_wildlife_animals,"['echidna', 'zoo', 'wildlife', 'animals', 'koala', 'insects', 'creatures', 'rustle', 'safari', 'doing']","['Dragonfly: Dragonflies usually patrol a particular area looking for insects to eat. Mosquitoes, flies and midges are a large part of their diet. This fact alone should endear these deful creatures to us!', 'Echidna: If you hear a rustle in the grass it might be an Echidna out looking for lunch.  But if he hears you he wi\x9dll quickly try to hide.  If you see one, please keep your distance, they are very shy.', 'Hello echidna!: A rustle in the leaf litter might just mean there’s an echidna fossicking for food. If you see one, stand still because they’re very shy creatures and will try to hide from you. ']"
13,12,56,12_seat_seats_seating_rest,"['seat', 'seats', 'seating', 'rest', 'golf', 'plenty', 'sit', 'tired', 'legs', 'chair']","['First seat: The is the first of a few seats that have been installed long the track. wonderful to sit and watch for a while.', ' Cove Seating: There is plenty of seating along  Cove. Sit to rest, people watch or enjoy the local fish and chips. ', 'First seat: There are a few seats, but this one faces the wrong way away from the view! But you can say hello to other walkers on the path which is nice.']"
14,13,55,13_memorial_war_cemetery_buried,"['memorial', 'war', 'cemetery', 'buried', 'cenotaph', 'men', 'memory', 'matthew', 'who', 'monument']","['Remember - Matthew George Forster.: At 28 Matthew left behind his wife Maud with two children. Although she remarried two rs later and moved to Collingwood, she eventually returned to  to be buried with Matthew.', 'War Memorial (centre plantation): Commemorates those who died or were killed in World War One. Erected by the  Branch R. S. & S. I. L. A.', ' Cenotaph, Talbot Road: A poignant symbol of lives lost in WWI & II, consider the impact on the village. This memorial was regilded in 2013 with community ations & support from Peter Stewart at FJC Memorials, Maryugh.']"
15,14,52,14_church_uniting_cathedral_anglican,"['church', 'uniting', 'cathedral', 'anglican', 'presbyterian', 'methodist', 'sacred', 'cic', 'christ', 'heart']","['Our Lady of the Sacred Heart Cic Church: The Church (WC Vahland design) was built in 1904. The Presbytery is next door.', 'Uniting Church: Originally St Andrew’s Presbyterian Church opened June 18 1899 (Vahland designed), the Uniting Church was formed by an amalgamation of Methodist & Presbyterian Churches in 1969. ', 'Uniting Church : Originally St Andrew’s Presbyterian Church (WC Vahland design) opened June 18 1899, the Uniting Church was formed by an amalgamation of Methodist and Presbyterian Churches in 1969.']"
16,15,50,15_signage_signs_trail_jacks,"['signage', 'signs', 'trail', 'jacks', 'markers', 'ham', 'rail', 'billy', 'puffing', 'uncommon']","['Signage as art and art as signage: Created by school children who live in the area, the unique signs are dotted along the trail and cate side trips you can make. ', 'Signage is plentiful: If you are feeling a bit disated, do not worry there are lots of signs letting you know where you are', 'Signage to show your walking choices: At the Ollerton Ave entrance, you are given an overview of the walking track options available to you so you can choose each time you visit a different approach.']"
17,16,50,16_caravan_rosalind_car_carpark,"['caravan', 'rosalind', 'car', 'carpark', 'parking', 'suburban', 'park', 'springvale', 'wonderland', 'westgate']","['Rosalind Park: The creek was an important source of food and water for the Dja Dja Wrung people who lived in this area. This  woodland with River Red Gums became a gold, then converted into a public park.', 'Friends : Continue back to path to the crossroad, pass through the gate posts and past the ""Friends of Westgate Park"" compound. Volunteers meet 8.30am every Monday and Tuesday come and enjoy the fun!', 'Car park is accessible off Morang Road: If you choose to drive this is a good parking spot, however why not catch the train and walk from  Train Station which is only 1km away!']"
18,17,46,17_wetlands_wetland_ivanhoe_frogs,"['wetlands', 'wetland', 'ivanhoe', 'frogs', 'stormwater', 'tatterson', 'bracken', 'foam', 'cheetham', 'species']","['Distinctly different wetland: Cafardi Boulevard offers a different style of wetlands, at first, as it moves away from the rich woodland of Tatterson Park. Follow the street to reach Hidden .', 'Wetlands: The wetlands act as filters, sponges and reserves of water.  Though only 2% of Victoria is wetland area, it supports 33% of our endangered plants and is home to mammals, frogs, fish and insects.', 'Tirha wetlands: This wetland is named for the  occupied by Rev. James Clow, first European settler in the  of , 1838. The wetland are  home to much bird life, and aquatic species such as frogs']"
19,18,45,18_coffee_cafe_caf_restaurant,"['coffee', 'cafe', 'caf', 'restaurant', 'chai', 'cafes', 'bakery', 'british', 'harbour', 'salingers']","['Cafe argyles: This quirky caf\x9d serves freshly made treats and bites to eat made from locally sourced produce, along with local wines and beers, It\x9ds a great place to stop in and have a chai and muffin.', 'Harbour Town Shopping Centre: Harbour Town , includes over 120 outlets and 70 specialty stores. Open daily from 10am. Visit the onsite tourism lounge for special shopping offers and visitor information.', 'Harbour Town Shopping Centre: Harbour Town , includes over 120 outlets and 70 specialty stores. Open daily from 10am. Visit the onsite tourism lounge for special shopping offers and visitor information.']"
